Maciek,3,2023-11-19 15:53:51
robert,3,2023-11-19 15:59:56
grzegorz,1,2023-11-19 16:01:03
michal,2,2023-11-19 16:03:04
marek,0,2023-11-19 16:13:02
marek,10,2023-11-19 16:17:12
link,9,2023-11-19 16:23:25
Alicja,0,2023-11-19 16:25:05
war,6,2023-11-19 16:54:06
werka,4,2023-11-19 17:04:55
wers,5,2023-11-19 20:18:03
eryk,8,2023-11-21 18:38:16
Maciek,7,2023-11-24 20:30:35
